,road_link_id,time_period,volume,travel_time
t62,0,t62,1158.1320920426067,4.93265149631927
t63,0,t63,1158.2027879862537,4.932650866097504
t64,0,t64,1158.2733408789372,4.932650236396304
t65,0,t65,1158.3437508147447,4.932649607203217
t66,0,t66,1158.4140178854384,4.932648978514035
t67,0,t67,1158.4841421820443,4.932648350327193
t68,0,t68,1158.554123795353,4.932647722641957
t69,0,t69,1158.6239628160836,4.932647095457858
t70,0,t70,1158.6936593349312,4.9326464687745135
t71,0,t71,1158.7632134425858,4.9326458425915645
t72,0,t72,1158.8326252297331,4.9326452169086545
t73,0,t73,1158.9018947870597,4.932644591725443
t74,0,t74,1158.971022205251,4.932643967041579
t75,0,t75,1159.0400075749928,4.932643342856719
t76,0,t76,1159.1088509869714,4.932642719170515
t77,0,t77,1159.1775525318722,4.932642095982629
t78,0,t78,1159.2461123003811,4.932641473292712
t79,0,t79,1159.314530383184,4.932640851100422
t80,0,t80,1159.3828068709665,4.9326402294054175
t81,0,t81,1159.450941854414,4.932639608207357
t82,0,t82,1159.518935424213,4.932638987505901
t83,0,t83,1159.5867876710486,4.932638367300706
t84,0,t84,1159.6544986856065,4.932637747591435
t85,0,t85,1159.7220685585733,4.932637128377747
t86,0,t86,1159.789497380634,4.932636509659307
t87,0,t87,1159.8567852424749,4.932635891435774
t88,0,t88,1159.9239322347812,4.932635273706811
t89,0,t89,1159.9909384482391,4.932634656472083
t90,0,t90,1160.0578039735344,4.932634039731254
t91,0,t91,1160.1245289013523,4.932633423483987
t92,0,t92,1160.191113322379,4.9326328077299495
t93,0,t93,1160.2575573273,4.932632192468807
t94,0,t94,1160.3238610068015,4.932631577700228
t95,0,t95,1160.3900244515692,4.932630963423876
t96,0,t96,1160.4560477522882,4.932630349639423
t97,0,t97,1160.521930999645,4.932629736346535
t98,0,t98,1160.5876742843252,4.932629123544883
t99,0,t99,1160.6532776970146,4.932628511234135
t100,0,t100,1160.7187413283987,4.932627899413961
t101,0,t101,1160.7840652691634,4.932627288084036
t102,0,t102,1160.8492496099946,4.932626677244028
t103,0,t103,1160.914294441578,4.9326260668936115
t104,0,t104,1160.9791998545988,4.932625457032458
t105,0,t105,1161.0439659397439,4.932624847660242
t106,0,t106,1161.108592787698,4.932624238776638
t107,0,t107,1161.1730804891477,4.932623630381319
t108,0,t108,1161.2374291347778,4.932623022473962
t109,0,t109,1161.3016388152748,4.932622415054246
t110,0,t110,1161.3657096213246,4.932621808121843
t111,0,t111,1161.4296416436127,4.932621201676433
t112,0,t112,1161.4934349728244,4.932620595717691
t113,0,t113,1161.5570896996462,4.932619990245301
t114,0,t114,1161.6206059147632,4.9326193852589375
t115,0,t115,1161.6839837088617,4.932618780758282
t116,0,t116,1161.7472231726274,4.932618176743015
t117,0,t117,1161.8103243967457,4.932617573212816
t118,0,t118,1161.8732874719026,4.932616970167372
t119,0,t119,1161.9361124887841,4.932616367606357
t120,0,t120,1161.9987995380757,4.932615765529459
t121,0,t121,1162.0613487104629,4.93261516393636
t122,0,t122,1162.123760096632,4.932614562826746
t123,0,t123,1162.1860337872683,4.9326139622003
t124,0,t124,1162.248169873058,4.932613362056708
t125,0,t125,1162.3101684446865,4.932612762395655
t126,0,t126,1162.3720295928397,4.932612163216827
t127,0,t127,1162.4337534082033,4.932611564519913
