road_link_id,name,from_node_id,to_node_id,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,from_node,to_node,length,LinkType,Desc
101834 100179,North Shore,101834,100179,1290,-1,1734,24,1,,,,,Arterial,,101834,100179,748,5,Arterial
101834 101843,Collett,101834,101843,1957,1,1800,27,1,,,,,Arterial,,101834,101843,797,5,Arterial
101841 100178,Metcalf,101841,100178,1288,-1,1734,29,1,,,,,Highway,,101841,100178,802,7,Highway
101841 100179,North Shore,101841,100179,1291,-1,1800,26,1,,,,,Arterial,,101841,100179,849,5,Arterial
101841 100192,North Shore,101841,100192,1302,-1,1676,24,1,,,,,Arterial,,101841,100192,905,5,Arterial
101842 110,,101842,110,264,-1,1800,25,1,,,,,HOT,,101842,110,595,6,HOT
101842 100178,Metcalf,101842,100178,1289,-1,1800,27,1,,,,,Highway,,101842,100178,63,7,Highway
101842 101845,Metcalf,101842,101845,1963,1,1228,27,1,,,,,Arterial,,101842,101845,418,5,Arterial
101843 111,,101843,111,267,-1,1800,25,1,,,,,HOT,,101843,111,750,6,HOT
101843 101834,Collett,101843,101834,1957,-1,1734,27,1,,,,,Arterial,,101843,101834,797,5,Arterial
101843 101847,Collett,101843,101847,1964,1,1421,27,1,,,,,Arterial,,101843,101847,578,5,Arterial
101844 100052,Elm,101844,100052,1965,1,1421,36,2,,,,,Highway,,101844,100052,282,7,Highway
101844 100255,McDonel,101844,100255,1372,-1,1800,23,1,,,,,Arterial,,101844,100255,61,5,Arterial
101844 100274,Elm,101844,100274,1392,-1,1800,39,1,,,,,Arterial,,101844,100274,417,5,Arterial
101844 100279,McDonel,101844,100279,1398,-1,1497,21,1,,,,,Arterial,,101844,100279,304,5,Arterial
101845 100274,Elm,101845,100274,1393,-1,1330,37,1,,,,,Highway,,101845,100274,411,7,Highway
101845 100278,Metcalf,101845,100278,1396,-1,1228,29,1,,,,,Arterial,,101845,100278,269,5,Arterial
101845 101842,Metcalf,101845,101842,1963,-1,1734,27,1,,,,,Arterial,,101845,101842,418,5,Arterial
101845 101846,Elm,101845,101846,1966,1,1421,30,1,,,,,Highway,,101845,101846,835,7,Highway
101846 111,,101846,111,268,-1,1800,25,1,,,,,HOT,,101846,111,587,6,HOT
101846 175,,101846,175,424,-1,1800,25,1,,,,,HOT,,101846,175,290,6,HOT
101846 101845,Elm,101846,101845,1966,-1,1228,28,1,,,,,Highway,,101846,101845,835,7,Highway
101846 101847,Elm,101846,101847,1967,1,1421,30,1,,,,,Highway,,101846,101847,754,7,Highway
101847 100272,Elm,101847,100272,1389,-1,1800,36,1,,,,,Highway,,101847,100272,750,7,Highway
101847 101843,Collett,101847,101843,1964,-1,1734,27,1,,,,,Arterial,,101847,101843,578,5,Arterial
101847 101846,Elm,101847,101846,1967,-1,1800,28,1,,,,,Highway,,101847,101846,754,7,Highway
101847 101853,Collett,101847,101853,1968,1,1734,27,1,,,,,Arterial,,101847,101853,506,5,Arterial
101853 100271,Spring,101853,100271,1974,1,1800,39,2,,,,,Arterial,,101853,100271,708,5,Arterial
101853 101847,Collett,101853,101847,1968,-1,1421,27,1,,,,,Arterial,,101853,101847,506,5,Arterial
101853 101859,Collett,101853,101859,1975,1,1546,31,1,,,,,Arterial,,101853,101859,264,5,Arterial
101854 108,,101854,108,255,-1,1800,25,1,,,,,HOT,,101854,108,258,6,HOT
101854 175,,101854,175,425,-1,1800,25,1,,,,,HOT,,101854,175,211,6,HOT
101854 101853,Spring,101854,101853,1976,1,1508,34,2,,,,,Arterial,,101854,101853,798,5,Arterial
101855 100278,Metcalf,101855,100278,1397,-1,1497,26,1,,,,,Highway,,101855,100278,207,7,Highway
101855 101854,Spring,101855,101854,1977,1,1618,34,2,,,,,Arterial,,101855,101854,792,5,Arterial
101855 101856,Metcalf,101855,101856,1978,1,1497,29,1,,,,,Highway,,101855,101856,223,7,Highway
101856 178,,101856,178,434,-1,1800,25,1,,,,,HOT,,101856,178,380,6,HOT
101856 101855,Metcalf,101856,101855,1978,-1,1508,27,1,,,,,Highway,,101856,101855,223,7,Highway
101856 101857,Metcalf,101856,101857,1979,1,1497,29,1,,,,,Highway,,101856,101857,271,7,Highway
101857 100275,Market,101857,100275,1394,-1,1228,24,2,,,,,Highway,,101857,100275,399,7,Highway
101857 100292,Metcalf,101857,100292,1415,-1,1228,29,1,,,,,Highway,,101857,100292,285,7,Highway
101857 101856,Metcalf,101857,101856,1979,-1,1800,27,1,,,,,Highway,,101857,101856,271,7,Highway
101857 101858,Market,101857,101858,1980,1,1657,27,2,,,,,Highway,,101857,101858,800,7,Highway
101858 108,,101858,108,256,-1,1800,25,1,,,,,HOT,,101858,108,248,6,HOT
101858 184,,101858,184,455,-1,1800,25,1,,,,,HOT,,101858,184,689,6,HOT
101858 101857,Market,101858,101857,1980,-1,1364,27,2,,,,,Highway,,101858,101857,800,7,Highway
101858 101860,Market,101858,101860,1981,1,1734,26,2,,,,,Highway,,101858,101860,791,7,Highway
101859 101853,Collett,101859,101853,1975,-1,1421,26,1,,,,,Arterial,,101859,101853,264,5,Arterial
101859 101860,Collett,101859,101860,1982,1,1734,27,1,,,,,Arterial,,101859,101860,256,5,Arterial
101860 101858,Market,101860,101858,1981,-1,1800,26,2,,,,,Highway,,101860,101858,791,7,Highway
101860 101859,Collett,101860,101859,1982,-1,1618,27,1,,,,,Arterial,,101860,101859,256,5,Arterial
101860 101911,Market,101860,101911,1983,1,1800,30,2,,,,,Highway,,101860,101911,438,7,Highway
101861 101778,Market,101861,101778,1890,-1,1800,29,2,,,,,Highway,,101861,101778,268,7,Highway
101861 101868,Charles,101861,101868,1984,1,1734,28,1,,,,,Arterial,,101861,101868,482,5,Arterial
101861 101911,Market,101861,101911,1985,1,1602,28,2,,,,,Highway,,101861,101911,288,7,Highway
101868 101764,Charles,101868,101764,1873,-1,1618,28,1,,,,,Arterial,,101868,101764,383,5,Arterial
101868 101861,Charles,101868,101861,1984,-1,1602,28,1,,,,,Arterial,,101868,101861,482,5,Arterial
101868 101869,High,101868,101869,1993,1,1800,27,1,,,,,Arterial,,101868,101869,172,5,Arterial
101869 134,,101869,134,329,-1,1800,25,1,,,,,HOT,,101869,134,163,6,HOT
101869 101868,High,101869,101868,1993,-1,1734,27,2,,,,,Arterial,,101869,101868,172,5,Arterial
101870 100165,High,101870,100165,1259,-1,1800,28,1,,,,,Arterial,,101870,100165,114,5,Arterial
101870 100292,Metcalf,101870,100292,1416,-1,1228,29,1,,,,,Highway,,101870,100292,225,7,Highway
101870 100294,Metcalf,101870,100294,1417,-1,1228,29,1,,,,,Highway,,101870,100294,253,7,Highway
101870 100295,High,101870,100295,1994,1,1497,26,2,,,,,Arterial,,101870,100295,397,5,Arterial
101871 100287,North,101871,100287,1409,-1,1734,38,1,,,,,Highway,,101871,100287,848,7,Highway
101871 100294,Metcalf,101871,100294,1418,-1,1228,29,1,,,,,Highway,,101871,100294,208,7,Highway
101871 100296,North,101871,100296,1420,-1,1800,27,1,,,,,Highway,,101871,100296,390,7,Highway
101871 101880,Metcalf,101871,101880,1995,1,1497,26,1,,,,,Highway,,101871,101880,498,7,Highway
101872 100287,North,101872,100287,1410,-1,1734,38,1,,,,,Highway,,101872,100287,748,7,Highway
101872 101764,North,101872,101764,1874,-1,1734,28,1,,,,,Highway,,101872,101764,758,7,Highway
101872 101878,Collett,101872,101878,1996,1,1734,29,1,,,,,Arterial,,101872,101878,496,5,Arterial
101878 100285,Wayne,101878,100285,2003,1,1421,37,2,,,,,Arterial,,101878,100285,760,5,Arterial
101878 101872,Collett,101878,101872,1996,-1,1497,29,1,,,,,Arterial,,101878,101872,496,5,Arterial
101878 101882,Collett,101878,101882,2004,1,1800,25,1,,,,,Arterial,,101878,101882,423,5,Arterial
101879 101878,Wayne,101879,101878,2005,1,1508,27,2,,,,,Arterial,,101879,101878,747,5,Arterial
101879 101913,Baxter,101879,101913,2006,1,1734,27,1,,,,,Arterial,,101879,101913,96,5,Arterial
101880 101871,Metcalf,101880,101871,1995,-1,1497,26,1,,,,,Highway,,101880,101871,498,7,Highway
101880 101879,Wayne,101880,101879,2007,1,1734,27,2,,,,,Arterial,,101880,101879,854,5,Arterial
